Accident_Index,Accident_Severity,Day_of_Week,Time,Road_Type,Speed_limit,Weather_Conditions,Road_Surface_Conditions,Light_Conditions,Number_of_Vehicles,Number_of_Casualties,Urban_or_Rural_Area,Year,Month,Latitude,Longitude
ACC000726,3,6,09:12,Single carriageway,30,Fine no high winds,Dry,Daylight,3,1,1,2010,11,52.038107,-3.587592
ACC022950,3,6,16:56,Single carriageway,30,Fine no high winds,Dry,Darkness - lights lit,2,2,1,2005,11,50.888316,-4.135018
ACC034658,3,5,14:30,Single carriageway,30,Fine no high winds,Dry,Darkness - lights lit,1,2,1,2009,9,50.206801,-2.422326
ACC037214,3,1,12:02,Roundabout,30,Fine no high winds,Wet or damp,Daylight,2,1,1,2012,12,51.451252,-4.288446
ACC020305,3,5,09:33,Single carriageway,30,Fine no high winds,Dry,Darkness - lights lit,1,1,1,2007,5,54.016734,-1.876793
ACC015270,2,2,18:22,Dual carriageway,30,Fine no high winds,Wet or damp,Daylight,3,1,1,2014,8,50.806961,-0.842002
ACC022368,2,5,07:10,Single carriageway,30,Other,Wet or damp,Daylight,3,2,1,2011,9,51.555162,-0.887782
ACC042685,3,6,11:59,Dual carriageway,40,Fine no high winds,Dry,Darkness - lights unlit,2,2,1,2007,7,52.796819,-2.699526
ACC046735,3,6,22:19,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,1,1,2,2008,1,50.882493,-0.257466
ACC011733,3,3,19:48,Single carriageway,60,Fine no high winds,Dry,Daylight,3,2,1,2011,5,53.885994,0.502573
ACC018620,3,6,08:36,Single carriageway,30,Fine no high winds,Wet or damp,Darkness - lights lit,2,1,2,2013,5,55.629662,-0.75202
ACC048493,2,4,22:15,Roundabout,50,Fine no high winds,Dry,Darkness - lights unlit,2,1,1,2006,3,50.310539,-1.64715
ACC026804,3,2,23:54,Dual carriageway,30,Fine no high winds,Dry,Daylight,1,1,2,2015,3,53.98021,-2.43296
ACC044306,3,1,17:07,Unknown,30,Fine no high winds,Wet or damp,Darkness - lights lit,2,1,1,2008,10,51.519097,-2.546063
ACC047523,3,5,05:54,One way street,60,Raining no high winds,Dry,Daylight,1,4,1,2010,10,54.664865,-1.55483
ACC032208,3,2,05:23,Single carriageway,50,Other,Dry,Daylight,2,1,1,2011,1,53.489642,-2.444416
ACC002531,3,5,13:02,Single carriageway,40,Fine no high winds,Wet or damp,Daylight,2,3,2,2015,10,52.672813,-1.925261
ACC017747,3,3,10:26,Single carriageway,30,Raining + high winds,Dry,Darkness - lights unlit,1,1,2,2011,8,55.145975,-2.253951
ACC008271,3,6,13:49,Dual carriageway,30,Fine no high winds,Dry,Daylight,2,1,2,2005,9,55.057081,-4.912898
ACC015080,3,5,18:03,Single carriageway,60,Fine no high winds,Dry,Daylight,2,2,2,2006,1,53.403337,1.959749
ACC013625,3,4,08:57,Slip road,30,Fine no high winds,Dry,Daylight,2,1,2,2007,1,53.438589,-2.398138
ACC030639,2,5,15:38,Roundabout,50,Raining + high winds,Dry,Daylight,1,2,1,2008,12,53.9964,-2.980802
ACC030441,3,4,17:53,Single carriageway,40,Fine no high winds,Dry,Darkness - lighting unknown,3,1,1,2011,7,50.831858,-4.294773
ACC036057,3,5,14:56,Dual carriageway,30,Fine no high winds,Wet or damp,Daylight,3,1,1,2011,9,55.375792,-1.5674
ACC042652,3,1,12:57,Dual carriageway,60,Raining + high winds,Wet or damp,Daylight,2,2,1,2015,5,55.755954,1.890398
ACC036804,3,4,22:06,Unknown,30,Fine no high winds,Dry,Darkness - lights lit,2,1,1,2009,12,54.131288,-0.555986
ACC048225,3,2,21:13,One way street,30,Fine no high winds,Dry,Darkness - no lighting,1,2,1,2013,4,52.800729,-2.384062
ACC029227,3,4,14:43,Unknown,30,Fine no high winds,Wet or damp,Daylight,2,1,1,2014,1,51.795129,0.003973
ACC005634,3,5,21:50,Slip road,30,Raining no high winds,Dry,Daylight,3,1,1,2005,2,53.932401,1.533043
ACC005988,3,4,14:41,Roundabout,30,Fine no high winds,Dry,Darkness - lights lit,1,4,1,2010,4,50.832622,-1.118434
ACC048064,3,7,07:41,Single carriageway,70,Fine no high winds,Dry,Darkness - no lighting,2,1,1,2014,5,54.860317,-1.314658
ACC001813,3,2,08:50,Single carriageway,30,Fine no high winds,Dry,Daylight,2,3,1,2010,7,55.385191,0.44714
ACC027579,3,6,06:00,Slip road,30,Fine no high winds,Dry,Daylight,2,1,1,2010,12,52.575465,-4.121384
ACC016824,2,2,14:56,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,2,1,2,2010,1,51.778422,-3.444328
ACC003929,3,2,06:56,Dual carriageway,30,Fine no high winds,Dry,Darkness - lights lit,2,1,2,2011,2,50.962851,0.552442
ACC037287,3,7,19:36,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,1,1,2,2013,6,53.484044,0.266175
ACC025046,2,4,07:22,Single carriageway,20,Fine no high winds,Wet or damp,Daylight,1,1,1,2010,10,54.329644,0.111161
ACC015728,3,4,04:06,Single carriageway,30,Fine + high winds,Wet or damp,Daylight,2,1,1,2015,3,52.704728,-1.191442
ACC029601,3,5,09:29,Single carriageway,30,Fine no high winds,,Darkness - no lighting,3,1,1,2007,4,51.199296,-2.148485
ACC010431,2,4,08:05,Slip road,20,Fine no high winds,Dry,Darkness - no lighting,1,1,2,2007,11,55.448022,0.647319
ACC025769,3,5,16:50,Single carriageway,60,Fine no high winds,Dry,Darkness - lights unlit,2,1,2,2008,3,51.755298,-3.592888
ACC029104,3,4,08:27,Single carriageway,30,Raining no high winds,Wet or damp,Daylight,1,2,1,2010,10,54.305893,1.58134
ACC036538,3,2,05:38,Single carriageway,30,Fine no high winds,Wet or damp,Darkness - lights lit,2,1,2,2009,5,50.039506,-1.319328
ACC039329,3,1,03:14,Single carriageway,30,Raining no high winds,,Daylight,1,1,1,2013,3,54.250915,0.639057
ACC035540,3,7,14:32,Single carriageway,30,Raining no high winds,Wet or damp,Daylight,3,1,1,2013,9,55.806592,0.648341
ACC028076,3,3,11:01,Dual carriageway,30,Fine no high winds,Wet or damp,Daylight,5,1,1,2014,12,53.721228,-1.984725
ACC017841,3,6,12:47,One way street,30,Fine no high winds,Wet or damp,Daylight,1,1,2,2007,5,52.504649,-1.067205
ACC027803,3,2,15:45,Single carriageway,40,Fine no high winds,Mud,Daylight,2,1,2,2015,6,50.988277,1.399668
ACC007683,3,5,17:04,One way street,30,Raining no high winds,Dry,Daylight,2,1,1,2008,10,50.217327,1.357191
ACC024280,3,7,15:30,Single carriageway,40,Fine no high winds,Wet or damp,Darkness - no lighting,2,2,1,2012,7,50.472616,-0.330048
ACC033071,3,7,14:15,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,2,1,1,2011,8,51.985466,-2.650785
ACC035558,1,2,18:14,Slip road,60,Raining no high winds,Wet or damp,Darkness - no lighting,2,5,2,2006,9,52.386479,-3.992139
ACC037190,3,1,17:15,Dual carriageway,30,Fine no high winds,Wet or damp,Daylight,1,3,2,2014,7,53.398094,0.013027
ACC047150,3,6,17:40,Single carriageway,40,Fine no high winds,Dry,Daylight,1,1,1,2012,7,51.626458,-4.38486
ACC046916,3,7,16:50,Dual carriageway,40,Fine + high winds,Wet or damp,Darkness - no lighting,2,1,2,2008,10,50.300282,0.918123
ACC009802,3,3,19:54,Single carriageway,30,Fine no high winds,Dry,Daylight,2,3,1,2010,3,53.605741,-0.726589
ACC038801,3,5,09:40,Single carriageway,60,Raining no high winds,Wet or damp,Darkness - lights unlit,3,1,1,2006,3,52.202227,1.726572
ACC024670,3,2,07:25,Single carriageway,30,Fog or mist,Dry,Darkness - no lighting,2,1,1,2007,5,53.46305,0.3058
ACC044234,3,4,17:35,Single carriageway,30,Fog or mist,Dry,Daylight,5,1,1,2015,6,54.258041,1.033469
ACC031920,3,7,16:28,Single carriageway,60,Fine + high winds,Dry,Daylight,1,2,1,2013,4,55.986289,-4.623995
ACC007135,3,3,22:51,Dual carriageway,50,,Dry,Darkness - lights lit,5,1,1,2005,7,54.776832,-1.722365
ACC033705,2,6,20:05,Single carriageway,60,Fine no high winds,Dry,Daylight,2,1,2,2012,4,51.778499,-2.176972
ACC029661,2,1,15:56,Single carriageway,30,Raining no high winds,Dry,Daylight,1,1,1,2008,3,53.96396,0.605168
ACC017894,3,4,11:26,Single carriageway,60,Fine no high winds,Dry,Daylight,5,1,2,2008,9,54.369425,-0.004655
ACC022019,3,7,14:17,Dual carriageway,30,Snowing no high winds,Dry,Daylight,1,1,1,2015,5,52.421529,-3.569989
ACC013539,3,4,19:33,Single carriageway,50,Fine no high winds,Wet or damp,Darkness - lights unlit,2,1,1,2010,9,54.651895,1.805466
ACC043119,3,6,00:25,Single carriageway,50,Fine no high winds,Dry,Daylight,1,2,2,2009,12,50.159683,-3.899375
ACC036421,3,3,07:49,Single carriageway,30,Fine no high winds,Dry,Daylight,2,1,2,2014,8,55.865148,-1.939389
ACC009406,3,6,09:21,Single carriageway,60,Fine no high winds,Wet or damp,Darkness - no lighting,1,3,2,2008,9,53.523562,1.386653
ACC013414,2,3,18:12,Single carriageway,30,Other,Dry,Daylight,2,1,2,2010,7,50.429004,-0.562104
ACC006721,3,6,16:02,Unknown,30,Fine no high winds,Wet or damp,Darkness - lighting unknown,1,1,2,2012,1,53.163497,-1.354278
ACC015602,3,1,09:27,Single carriageway,60,Fine no high winds,Mud,Darkness - lights lit,2,1,2,2009,6,51.546164,-1.711072
ACC044744,3,5,12:42,Single carriageway,30,Raining no high winds,Wet or damp,Daylight,2,1,2,2012,5,50.028119,-4.86504
ACC031139,3,3,07:44,Single carriageway,30,Fine no high winds,Wet or damp,Darkness - lights lit,2,1,1,2005,11,52.602003,-4.301108
ACC002730,3,2,14:31,Single carriageway,50,Raining no high winds,Dry,Darkness - lights lit,4,2,2,2006,10,53.351606,0.935657
ACC038243,3,7,09:50,Single carriageway,60,Raining no high winds,Wet or damp,Daylight,1,2,1,2006,3,55.12846,-1.238374
ACC029626,3,4,07:53,Roundabout,30,Fine no high winds,Wet or damp,Daylight,1,1,2,2005,1,52.714646,-2.173438
ACC047895,3,7,08:37,Single carriageway,60,Fine no high winds,Wet or damp,Daylight,1,1,2,2013,8,50.221775,0.646114
ACC042091,3,3,08:55,Dual carriageway,60,Fine no high winds,Wet or damp,Darkness - no lighting,2,1,1,2010,5,52.6415,1.075681
ACC036400,3,4,18:12,Dual carriageway,60,Fine no high winds,Dry,Daylight,1,1,2,2007,2,53.493276,0.209359
ACC006245,3,3,13:20,Roundabout,30,Other,Dry,Daylight,1,1,1,2015,7,52.432924,-1.754274
ACC005546,2,4,11:28,Single carriageway,50,Other,Snow,Darkness - lights lit,4,1,2,2014,3,52.070652,-1.449641
ACC004065,3,3,15:53,Single carriageway,70,Fine no high winds,Snow,Daylight,2,1,2,2006,1,53.4277,-2.77609
ACC012852,3,5,20:11,,30,Fine no high winds,Wet or damp,Darkness - lights lit,1,2,2,2015,2,53.800658,-3.553112
ACC021803,3,4,09:12,Slip road,70,Raining no high winds,Dry,Darkness - no lighting,1,1,1,2012,11,53.818251,-0.987749
ACC041164,3,7,12:07,Single carriageway,60,Fine no high winds,Dry,Daylight,3,1,2,2010,5,53.173431,-1.634804
ACC006233,3,7,03:15,Dual carriageway,30,Raining no high winds,Dry,Darkness - lighting unknown,2,2,1,2006,6,51.28333,-3.614051
ACC003863,3,7,19:30,Roundabout,30,Fine no high winds,Dry,Daylight,2,1,1,2013,6,51.892996,-2.34075
ACC035095,3,4,18:13,Single carriageway,30,Fine no high winds,Dry,Darkness - lights unlit,1,1,2,2007,6,51.332164,1.305468
ACC040196,3,5,07:00,Dual carriageway,30,Fine no high winds,Dry,Daylight,1,2,2,2012,8,53.31379,1.410782
ACC039251,3,6,07:45,Unknown,50,Fine no high winds,Wet or damp,Daylight,1,1,1,2012,6,51.717171,-2.193348
ACC006218,3,6,23:08,Roundabout,50,Fine no high winds,Wet or damp,Daylight,2,1,2,2007,4,51.825683,-3.877192
ACC036776,3,2,14:17,Dual carriageway,40,Raining no high winds,Dry,Daylight,1,1,2,2015,4,51.529604,-1.076359
ACC042977,3,1,11:57,Roundabout,30,Unknown,Wet or damp,Daylight,2,1,1,2013,10,51.105559,-2.141175
ACC048468,3,7,21:36,Single carriageway,30,Fine no high winds,Dry,Darkness - lights lit,2,2,1,2014,3,55.640889,0.71641
ACC014832,3,6,14:43,Dual carriageway,30,Raining + high winds,Dry,Darkness - no lighting,2,1,1,2007,8,53.709664,-4.415656
ACC030093,3,7,18:45,Dual carriageway,40,Fine no high winds,Oil or diesel,Darkness - no lighting,2,3,1,2013,3,51.369279,-2.114389
ACC008894,3,1,06:39,Dual carriageway,60,Fine no high winds,Wet or damp,Daylight,1,1,1,2010,4,50.999756,1.60003
ACC006021,3,5,16:44,Single carriageway,30,Fine no high winds,Dry,Daylight,2,4,2,2005,9,54.636087,-2.927244
ACC046089,3,4,13:48,One way street,20,Fine no high winds,Snow,Daylight,2,1,2,2006,12,52.092089,-1.283147
ACC015243,3,3,00:42,,30,Raining no high winds,Wet or damp,Darkness - no lighting,1,1,2,2005,3,53.261784,-4.723055
ACC045308,3,4,17:09,One way street,30,Fine no high winds,Dry,Daylight,2,1,2,2012,5,52.361523,0.905139
ACC026551,3,3,17:26,One way street,30,Raining no high winds,Dry,Daylight,2,1,1,2008,9,51.421277,1.831229
ACC006035,3,4,08:14,Single carriageway,30,Fine no high winds,Dry,Darkness - lights lit,2,2,1,2013,8,50.276529,-4.211778
ACC007906,3,4,07:00,Single carriageway,30,Fine + high winds,Wet or damp,Daylight,2,2,2,2012,6,52.004797,0.975296
ACC032226,3,4,13:55,Single carriageway,40,Fine no high winds,Dry,Daylight,2,1,1,2008,6,50.23447,1.297858
ACC006018,3,4,11:01,Roundabout,40,Fine no high winds,Dry,Darkness - lights unlit,2,1,1,2005,11,54.288688,-0.509301
ACC021880,2,4,06:32,Single carriageway,30,Raining no high winds,Dry,Daylight,3,1,1,2008,4,53.067015,0.417385
ACC002792,3,4,00:39,Single carriageway,30,Raining no high winds,Dry,Daylight,2,1,1,2015,3,54.958961,-4.728599
ACC042606,3,2,16:59,Roundabout,30,Fine no high winds,Dry,Daylight,2,1,1,2013,1,53.356986,-1.851867
ACC005824,3,4,03:56,Single carriageway,30,Fine no high winds,Dry,Darkness - lights lit,2,1,1,2007,11,53.288104,-1.644042
ACC015388,3,5,11:19,Single carriageway,30,Fine no high winds,Dry,Daylight,1,2,2,2005,8,52.420571,-1.089586
ACC029562,3,4,22:03,Single carriageway,60,Fine no high winds,Wet or damp,Daylight,2,3,1,2015,4,54.452712,-3.86794
ACC039476,3,4,14:18,Dual carriageway,30,Fine no high winds,Dry,Daylight,3,2,1,2015,7,53.625971,-4.15668
ACC000293,3,7,10:06,Dual carriageway,70,Fine no high winds,Wet or damp,Daylight,1,1,1,2011,7,50.238871,-2.646724
ACC016958,3,3,19:57,Single carriageway,30,Fine no high winds,Dry,Daylight,1,4,1,2012,3,52.903427,0.143387
ACC030861,3,4,18:21,One way street,30,Fine no high winds,Wet or damp,Daylight,2,1,1,2006,6,50.115403,-4.912948
ACC014074,3,4,08:05,Unknown,30,Raining no high winds,Wet or damp,Darkness - lights lit,3,4,1,2012,11,54.700512,0.716527
ACC021857,2,5,15:14,Dual carriageway,30,Fog or mist,Dry,Daylight,2,1,2,2013,2,50.767931,0.417263
ACC022080,3,5,20:53,Single carriageway,40,Fine no high winds,Dry,Darkness - lights lit,3,1,1,2010,1,53.494928,-4.089853
ACC017024,2,3,19:35,Roundabout,30,Fine no high winds,Dry,Darkness - lights unlit,2,2,2,2013,3,54.609486,0.562442
ACC008740,3,5,07:57,Dual carriageway,50,Other,Wet or damp,Darkness - lights lit,1,2,1,2010,12,52.946398,-3.27151
ACC015826,3,1,10:19,Single carriageway,30,Fine no high winds,Dry,Daylight,1,1,2,2007,12,55.25898,1.850093
ACC002742,3,5,16:46,Roundabout,40,Fine + high winds,Oil or diesel,Daylight,4,3,1,2007,3,55.168369,-2.656572
ACC018049,2,5,18:08,Single carriageway,30,Fine no high winds,Dry,Darkness - lighting unknown,1,1,2,2007,9,53.221988,0.722889
ACC049937,3,3,04:20,Dual carriageway,60,Fine + high winds,Wet or damp,Daylight,3,1,1,2005,10,51.87762,-4.870155
ACC017373,1,1,11:26,Dual carriageway,60,Fine no high winds,Wet or damp,Darkness - lights lit,3,2,2,2009,7,53.351914,-3.083791
ACC022022,3,6,13:22,Single carriageway,30,Fine no high winds,Wet or damp,Daylight,1,2,2,2008,8,53.239588,-0.269039
ACC046365,3,7,11:28,Single carriageway,30,Raining + high winds,Dry,Daylight,2,1,1,2013,3,54.3989,-1.982331
ACC023538,3,4,13:17,Single carriageway,70,Raining no high winds,Dry,Daylight,2,1,1,2006,3,54.16573,-4.106127
ACC045500,3,5,12:58,Single carriageway,60,Fine no high winds,Wet or damp,Daylight,1,1,2,2014,8,52.430104,-2.154003
ACC040186,3,6,14:59,Single carriageway,60,Fine no high winds,Dry,Darkness - lights lit,4,1,1,2011,11,55.496947,-3.719323
ACC009614,2,4,19:19,Single carriageway,30,Raining no high winds,,Daylight,1,3,1,2007,1,52.597135,0.757487
ACC043282,3,6,18:53,Single carriageway,30,Fine no high winds,Dry,Darkness - lights unlit,2,1,1,2005,11,54.654444,0.784241
ACC037892,2,6,15:15,Single carriageway,40,Fine + high winds,Oil or diesel,Daylight,2,1,2,2012,2,50.284724,-4.663815
ACC026179,3,4,19:29,Dual carriageway,30,Fine no high winds,Dry,Daylight,4,1,1,2011,5,54.501479,-4.707904
ACC045893,3,5,19:50,Unknown,30,Fine no high winds,Wet or damp,Darkness - lighting unknown,3,2,1,2007,9,53.199364,-1.596699
ACC020934,3,1,13:53,Dual carriageway,30,Fine no high winds,Dry,Daylight,1,1,1,2007,4,50.092519,1.022539
ACC040972,3,4,16:44,Single carriageway,30,Fine no high winds,Dry,Darkness - lights lit,2,1,1,2010,8,54.764329,-1.855231
ACC022225,3,2,04:37,Single carriageway,30,Raining no high winds,Dry,Darkness - lights unlit,2,1,2,2010,4,51.340552,1.944447
ACC024382,3,4,15:29,Roundabout,50,Fine + high winds,Snow,Darkness - lights unlit,1,1,1,2015,3,54.575449,-4.943611
ACC034856,3,6,09:33,Single carriageway,50,Raining no high winds,Dry,Daylight,2,3,2,2014,10,55.239201,-4.836927
ACC048578,3,2,18:05,Single carriageway,20,Raining no high winds,Dry,Darkness - lights lit,3,1,2,2014,10,55.973862,-2.698164
ACC038537,3,4,18:10,One way street,20,Raining no high winds,Dry,Darkness - lighting unknown,1,1,2,2006,6,50.441325,-0.894528
ACC031756,3,1,04:26,Single carriageway,60,Fine no high winds,Wet or damp,Daylight,1,1,2,2014,11,52.158544,-0.634364
ACC007754,3,1,12:39,Roundabout,30,Fine no high winds,Wet or damp,Darkness - lights lit,1,1,1,2013,5,52.168054,-2.8379
ACC046639,3,4,12:43,Dual carriageway,30,Fine no high winds,Wet or damp,Darkness - lighting unknown,2,1,2,2005,3,53.367507,1.162334
ACC043835,3,2,22:53,Single carriageway,60,Raining no high winds,Wet or damp,Daylight,2,1,2,2009,4,53.910815,-1.509454
ACC026236,3,1,21:01,Roundabout,60,Raining + high winds,Dry,Daylight,2,2,1,2013,1,55.926676,-2.662978
ACC044230,3,2,17:13,Single carriageway,30,Other,Dry,Daylight,1,1,2,2009,6,52.735705,-3.518572
ACC049597,3,3,14:00,Dual carriageway,60,Fine no high winds,Wet or damp,Daylight,2,2,1,2006,2,50.707222,-2.806189
ACC018553,3,4,19:56,Single carriageway,40,Fine no high winds,Wet or damp,Darkness - no lighting,2,1,1,2015,9,50.833334,-3.993826
ACC043137,3,4,19:46,Single carriageway,20,Fine no high winds,Wet or damp,Daylight,1,2,1,2011,1,52.794073,-1.364193
