time_key,Hour,Day_of_Week,day_name,is_weekend,time_of_day
57,22,4,Wednesday,0,Night
58,23,2,Monday,0,Night
59,5,5,Thursday,0,Night
60,13,5,Thursday,0,Afternoon
61,10,3,Tuesday,0,Morning
62,13,6,Friday,0,Afternoon
63,18,5,Thursday,0,Evening
64,8,4,Wednesday,0,Morning
65,15,5,Thursday,0,Afternoon
66,21,5,Thursday,0,Night
67,7,7,Saturday,1,Morning
68,8,2,Monday,0,Morning
69,6,6,Friday,0,Morning
70,14,2,Monday,0,Afternoon
71,19,7,Saturday,1,Evening
72,7,4,Wednesday,0,Morning
73,4,4,Wednesday,0,Night
74,16,5,Thursday,0,Afternoon
75,3,1,Sunday,1,Night
76,14,7,Saturday,1,Afternoon
77,11,3,Tuesday,0,Morning
78,12,6,Friday,0,Afternoon
79,15,2,Monday,0,Afternoon
80,22,3,Tuesday,0,Night
81,20,6,Friday,0,Evening
82,15,1,Sunday,1,Afternoon
83,19,4,Wednesday,0,Evening
84,7,3,Tuesday,0,Morning
85,9,1,Sunday,1,Morning
86,12,5,Thursday,0,Afternoon
87,9,7,Saturday,1,Morning
88,8,3,Tuesday,0,Morning
89,18,4,Wednesday,0,Evening
90,15,3,Tuesday,0,Afternoon
91,12,7,Saturday,1,Afternoon
92,23,6,Friday,0,Night
93,21,7,Saturday,1,Night
94,14,6,Friday,0,Afternoon
95,18,7,Saturday,1,Evening
96,0,3,Tuesday,0,Night
97,17,3,Tuesday,0,Evening
98,6,4,Wednesday,0,Morning
99,3,4,Wednesday,0,Night
100,10,7,Saturday,1,Morning
101,10,1,Sunday,1,Morning
102,4,3,Tuesday,0,Night
103,11,7,Saturday,1,Morning
104,18,6,Friday,0,Evening
105,19,5,Thursday,0,Evening
106,13,1,Sunday,1,Afternoon
107,4,2,Monday,0,Night
108,4,1,Sunday,1,Night
109,22,2,Monday,0,Night
110,21,1,Sunday,1,Night
111,16,1,Sunday,1,Afternoon
112,20,1,Sunday,1,Evening
113,10,4,Wednesday,0,Morning
114,21,4,Wednesday,0,Night
115,19,6,Friday,0,Evening
116,9,3,Tuesday,0,Morning
117,20,3,Tuesday,0,Evening
118,10,5,Thursday,0,Morning
119,6,5,Thursday,0,Morning
120,5,3,Tuesday,0,Night
121,8,1,Sunday,1,Morning
122,17,7,Saturday,1,Evening
123,10,2,Monday,0,Morning
124,0,2,Monday,0,Night
125,6,3,Tuesday,0,Morning
126,4,6,Friday,0,Night
127,19,2,Monday,0,Evening
128,14,1,Sunday,1,Afternoon
129,21,3,Tuesday,0,Night
130,7,1,Sunday,1,Morning
131,10,6,Friday,0,Morning
132,2,4,Wednesday,0,Night
133,4,7,Saturday,1,Night
134,23,3,Tuesday,0,Night
135,3,3,Tuesday,0,Night
136,9,2,Monday,0,Morning
137,22,7,Saturday,1,Night
138,1,6,Friday,0,Night
139,16,3,Tuesday,0,Afternoon
140,19,1,Sunday,1,Evening
141,13,7,Saturday,1,Afternoon
142,22,1,Sunday,1,Night
143,3,5,Thursday,0,Night
144,23,5,Thursday,0,Night
145,20,4,Wednesday,0,Evening
146,4,5,Thursday,0,Night
147,0,5,Thursday,0,Night
148,3,2,Monday,0,Night
149,5,6,Friday,0,Night
150,1,5,Thursday,0,Night
151,2,2,Monday,0,Night
152,1,2,Monday,0,Night
153,1,1,Sunday,1,Night
154,23,7,Saturday,1,Night
155,23,1,Sunday,1,Night
156,3,6,Friday,0,Night
157,5,4,Wednesday,0,Night
158,2,6,Friday,0,Night
159,2,7,Saturday,1,Night
160,1,7,Saturday,1,Night
161,5,7,Saturday,1,Night
162,23,4,Wednesday,0,Night
163,0,1,Sunday,1,Night
164,0,7,Saturday,1,Night
165,2,3,Tuesday,0,Night
166,1,3,Tuesday,0,Night
167,1,4,Wednesday,0,Night
168,2,5,Thursday,0,Night
