accident_key,time_key,location_key,weather_key,road_key,severity,num_vehicles,num_casualties,speed_limit
143,17,2,6,10,2,4,1,50
144,90,2,1,10,3,2,1,70
145,24,2,1,14,3,1,2,30
146,49,1,2,17,3,1,1,70
147,91,2,1,2,3,3,1,60
148,27,1,2,7,3,2,2,30
149,71,1,1,3,3,2,1,30
150,89,2,1,2,3,1,1,30
151,53,2,1,7,3,1,2,30
152,29,1,1,14,3,1,1,50
153,92,2,1,16,3,2,1,50
154,70,2,2,7,3,1,1,40
155,31,1,3,16,3,2,1,30
156,93,1,1,2,3,2,2,30
157,94,1,8,7,3,2,1,30
158,95,1,1,19,3,2,3,40
159,11,1,1,13,3,1,1,60
160,74,2,1,2,3,2,4,30
161,33,2,1,20,3,2,1,20
162,96,2,2,14,3,1,1,30
163,44,2,1,6,3,2,1,30
164,97,1,2,6,3,2,1,30
165,64,1,1,2,3,2,2,30
166,72,2,5,9,3,2,2,30
167,33,1,1,2,3,2,1,40
168,17,1,1,3,3,2,1,40
169,98,1,2,2,2,3,1,30
170,41,1,2,2,3,2,1,30
171,45,1,1,3,3,2,1,30
172,99,1,1,2,3,2,1,30
173,28,2,1,2,3,1,2,30
174,57,1,1,9,3,2,3,60
175,48,1,1,7,3,3,2,30
176,100,1,1,13,3,1,1,70
177,3,1,1,2,3,1,4,30
178,89,1,1,5,3,2,1,30
179,64,1,2,14,3,3,4,30
180,65,2,7,7,2,2,1,30
181,24,1,1,2,3,3,1,40
182,3,2,1,3,2,2,2,30
183,53,1,6,13,3,1,2,50
184,101,2,1,2,3,1,1,30
185,74,1,5,21,3,4,3,40
186,63,2,1,2,2,1,1,30
187,102,1,5,13,3,3,1,60
188,31,2,1,13,1,3,2,60
189,62,2,1,9,3,1,2,30
190,103,1,8,2,3,2,1,30
191,33,1,2,2,3,2,1,70
192,86,2,1,9,3,1,1,60
193,94,1,1,2,3,4,1,60
194,83,1,2,4,2,1,3,30
195,104,1,1,2,3,2,1,30
196,9,2,5,22,2,2,1,40
197,83,1,1,7,3,4,1,30
198,105,1,1,14,3,3,2,30
199,106,1,1,7,3,1,1,30
200,14,1,1,2,3,2,1,30
201,107,2,2,2,3,2,1,30
202,4,1,5,23,3,1,1,50
203,2,2,2,2,3,2,3,50
204,22,2,2,2,3,3,1,20
205,89,2,2,6,3,1,1,20
206,108,2,1,9,3,1,1,60
207,52,1,1,16,3,1,1,30
208,43,2,1,13,3,2,1,30
209,109,2,2,9,3,2,1,60
210,110,1,8,3,3,2,2,60
211,8,2,6,2,3,1,1,30
212,40,1,1,13,3,2,2,60
213,83,1,1,9,3,2,1,40
214,83,1,1,9,3,1,2,20
215,2,2,2,7,3,1,1,30
216,56,2,2,2,3,2,1,30
217,34,2,1,3,3,2,1,30
218,3,1,1,17,3,2,3,30
219,87,2,1,9,3,2,1,60
220,111,1,2,2,2,1,1,30
221,112,1,1,2,3,2,1,60
222,18,2,1,9,3,3,2,20
223,90,2,1,9,3,5,1,30
224,81,2,8,2,3,5,1,30
225,40,2,1,23,2,2,2,50
226,23,1,2,3,2,1,1,30
227,113,2,1,5,3,2,1,50
228,76,2,1,3,3,1,1,30
229,94,1,2,3,3,2,1,40
230,51,2,1,2,3,2,1,30
231,104,1,8,9,2,1,1,30
232,31,2,1,2,2,3,2,60
233,76,2,1,7,3,4,3,30
234,52,2,1,14,3,2,1,30
235,63,2,1,13,3,2,1,30
236,114,1,1,11,3,2,1,30
237,78,2,1,2,3,2,2,30
238,78,1,1,11,2,4,2,30
239,34,1,6,7,2,2,1,20
240,88,2,1,2,3,1,1,70
241,28,2,1,7,3,1,2,30
242,84,2,2,17,1,3,1,40
243,42,1,1,9,3,2,1,30
244,60,1,1,2,3,4,1,30
245,89,2,1,2,3,3,2,40
246,17,1,1,7,3,2,2,30
247,29,2,1,15,3,2,1,70
248,38,1,1,2,3,1,1,60
249,32,2,8,2,3,3,2,70
250,13,2,1,19,3,3,1,30
251,95,1,3,13,3,2,4,30
252,115,1,1,2,3,2,3,50
253,49,1,3,2,3,3,1,30
254,16,1,6,24,3,1,1,20
255,78,2,6,2,3,2,4,30
256,19,1,1,2,2,2,1,50
257,116,1,4,25,3,2,1,30
258,111,1,1,2,3,1,1,30
259,4,1,1,9,3,2,3,50
260,59,2,1,2,3,2,3,60
261,117,1,5,2,3,2,1,70
262,118,1,1,11,3,1,3,40
263,119,2,7,2,3,2,3,60
264,42,1,1,9,3,2,1,30
265,25,2,3,17,2,1,2,30
266,120,1,1,10,3,2,3,30
267,50,2,1,10,3,3,1,30
268,30,2,2,2,3,2,1,60
269,83,1,1,2,3,3,3,30
270,63,1,1,3,3,2,1,30
271,40,1,1,9,3,2,2,30
272,105,2,5,9,3,1,1,30
273,111,1,2,2,3,4,2,20
274,4,1,7,9,3,2,2,30
275,113,1,2,2,3,2,1,60
276,44,2,6,26,3,2,1,60
277,3,1,1,6,3,2,3,60
278,121,1,2,3,3,1,2,30
279,67,2,2,14,3,3,4,60
280,74,1,1,7,3,1,1,30
281,90,2,2,2,3,3,1,30
282,122,1,3,5,3,4,2,40
283,79,1,1,9,3,1,1,70
284,94,1,6,9,3,1,1,20
285,12,1,5,9,3,2,1,30
286,94,1,1,14,3,2,1,40
287,123,1,1,6,3,1,1,30
288,62,1,1,2,3,2,1,20
289,10,1,1,2,3,3,1,30
290,1,2,2,7,3,3,1,30
291,124,1,4,2,2,3,1,30
292,86,1,1,9,3,3,1,70
293,120,1,1,6,3,2,1,20
294,84,2,2,2,3,2,2,30
295,24,1,1,9,3,2,1,30
296,25,2,2,9,3,4,1,30
297,52,1,1,2,3,4,3,30
298,10,1,1,9,2,3,3,20
299,90,1,1,3,3,5,1,30
300,116,2,1,16,3,2,1,30
301,83,1,1,7,2,2,1,30
302,21,1,8,2,3,2,2,30
303,107,1,1,2,3,2,1,30
304,97,1,1,2,3,2,3,60
305,50,1,1,2,3,2,1,30
306,12,2,3,3,3,1,2,30
307,52,1,1,2,3,2,2,30
308,95,1,1,2,3,1,1,30
309,14,1,6,2,3,3,1,40
310,3,1,1,27,2,5,1,30
311,125,1,1,3,3,2,1,40
312,126,1,2,6,3,1,2,30
313,65,1,1,13,3,1,1,30
314,113,2,1,2,3,2,1,60
315,19,1,8,13,3,2,1,50
316,122,2,1,22,3,2,1,30
317,51,1,2,2,3,2,1,30
318,86,1,2,2,2,2,1,30
319,22,1,2,2,3,3,1,60
320,19,1,1,2,2,2,2,30
321,103,1,1,3,3,2,1,40
322,53,2,5,25,2,2,1,30
323,111,1,5,2,3,5,1,30
324,25,1,3,5,3,2,1,30
325,37,2,2,7,3,2,3,50
326,25,1,5,7,3,1,2,30
327,89,1,1,9,3,1,1,60
328,8,1,1,2,3,2,2,30
329,127,1,1,13,3,1,2,30
330,128,2,5,2,3,1,4,60
331,97,1,1,2,2,2,3,30
332,104,1,1,4,3,2,1,20
333,53,1,1,9,3,2,2,30
334,129,2,6,2,3,3,4,30
335,105,1,1,28,3,1,4,30
336,29,1,8,16,3,1,1,60
337,123,1,1,7,3,2,1,30
338,86,2,1,9,2,1,3,30
339,14,1,1,2,3,2,3,30
340,130,2,1,3,3,2,1,30
341,64,1,1,13,3,2,1,30
342,13,1,1,13,2,2,1,40
343,25,2,2,2,2,2,1,30
344,72,1,3,13,3,2,3,40
345,85,1,1,2,3,1,1,30
346,28,1,1,3,3,3,1,30
347,67,1,4,2,3,4,2,30
348,62,1,4,2,3,1,1,30
349,1,2,1,9,3,3,1,60
350,131,2,1,13,3,4,1,70
351,34,1,8,9,2,1,3,30
352,111,1,1,9,3,3,1,40
353,83,2,6,16,3,2,1,50
354,115,1,2,13,3,2,1,30
355,20,2,5,3,3,2,2,30
356,48,1,1,2,2,2,2,40
357,60,2,1,9,3,2,2,30
358,30,2,1,9,3,1,1,60
359,97,1,1,9,3,2,1,20
360,129,2,4,6,2,2,1,30
361,125,2,1,2,3,1,3,60
362,132,1,1,2,3,2,1,30
363,62,2,1,3,3,2,2,60
364,127,1,7,9,3,2,1,30
365,84,1,7,3,3,3,1,30
366,19,1,1,3,1,2,2,30
367,133,1,1,2,3,1,1,30
368,105,2,8,2,3,3,1,30
369,14,1,1,29,3,2,1,60
370,80,2,1,9,2,1,2,40
371,63,1,2,2,2,1,1,70
372,25,1,1,11,3,1,2,60
373,101,1,6,9,3,1,1,20
374,134,2,1,9,3,2,1,30
375,100,2,1,13,3,1,1,30
376,8,1,1,2,3,1,1,30
377,33,1,3,2,2,5,1,60
378,5,1,1,2,3,2,3,60
379,135,1,2,9,3,2,3,30
380,38,1,1,13,3,2,1,30
381,83,2,1,22,3,2,1,30
382,97,1,3,3,3,2,1,30
383,20,1,1,22,3,4,2,70
384,136,2,1,2,3,1,1,30
385,15,1,1,14,3,1,1,30
386,9,2,1,7,3,2,1,60
387,90,1,1,7,3,2,1,40
388,62,1,1,2,3,2,1,30
389,88,1,1,2,3,2,2,70
390,70,1,1,12,3,1,1,30
391,64,1,2,13,3,2,1,30
392,105,1,4,9,3,1,2,30
393,19,2,1,25,2,2,1,30
394,105,2,1,16,3,2,1,70
395,13,1,1,30,3,3,1,20
396,127,1,1,2,2,3,1,50
397,71,2,1,2,3,2,1,50
398,93,1,5,2,3,3,1,30
399,98,1,1,17,3,1,1,30
400,134,2,1,6,3,2,1,30
401,137,1,1,7,3,1,1,70
402,49,2,1,2,2,2,1,30
403,67,2,5,2,3,2,3,30
404,106,2,1,9,2,2,2,30
405,42,2,1,6,3,1,2,30
406,83,1,1,13,3,1,1,60
407,113,1,1,2,3,2,1,30
408,121,2,1,3,2,3,3,70
409,138,1,1,5,3,2,2,60
410,139,1,1,16,3,1,1,30
411,66,1,1,2,3,1,1,60
412,123,2,1,13,3,1,1,60
413,37,1,1,2,3,1,1,20
414,90,1,1,2,3,1,2,30
415,96,1,1,9,3,2,1,60
416,38,1,1,9,3,5,1,50
417,79,2,1,7,3,2,1,40
418,10,2,1,2,3,1,1,40
419,14,1,1,2,3,3,1,20
420,64,2,5,2,3,2,1,30
421,82,1,1,9,3,2,1,30
422,100,2,1,7,2,2,1,30
423,72,1,1,13,3,2,1,60
424,30,2,2,9,2,2,1,60
425,19,1,1,2,3,2,1,30
426,2,2,1,2,3,2,4,30
427,94,2,2,2,3,2,1,60
428,140,1,1,2,3,2,1,30
429,115,1,3,9,3,2,2,30
430,22,1,1,2,3,2,1,30
431,50,1,5,2,3,2,1,30
432,110,1,7,11,2,2,3,30
433,130,2,4,2,3,2,1,30
434,17,1,1,2,3,2,4,30
435,2,2,1,9,3,2,3,30
436,96,2,1,5,2,2,1,30
437,87,1,1,13,3,5,1,30
438,94,2,7,2,3,1,2,30
439,103,1,2,2,3,2,1,30
440,119,1,2,2,3,2,4,50
441,83,2,1,6,3,1,1,70
442,74,1,3,9,3,5,1,30
443,92,1,1,13,3,2,3,30
444,19,1,1,2,3,3,1,50
445,70,1,5,2,3,2,2,50
446,23,1,1,9,3,2,2,30
447,141,1,1,7,3,2,1,60
448,120,1,5,22,2,4,2,20
449,54,1,1,31,3,1,1,30
450,44,2,1,9,2,1,1,30
451,62,2,1,2,2,2,1,20
452,76,2,1,2,3,2,1,30
453,97,1,1,4,3,2,1,30
454,84,1,1,2,3,1,2,30
455,54,1,1,3,3,2,3,30
456,98,1,3,7,3,2,2,20
457,25,2,1,7,2,2,1,30
458,72,2,1,6,3,2,3,70
459,94,2,3,23,3,2,1,30
460,10,2,2,2,3,1,2,30
461,124,2,6,5,3,2,1,30
462,142,1,4,2,2,2,1,30
463,89,1,1,2,3,2,1,30
464,89,1,2,17,3,2,1,60
465,30,1,1,9,3,3,2,30
466,78,2,1,16,3,5,3,70
467,45,2,1,10,3,2,1,60
468,68,2,1,2,3,2,1,60
469,62,2,6,2,3,3,1,30
470,141,2,2,6,3,1,1,60
471,21,2,1,11,3,3,2,60
472,61,2,1,9,3,2,3,30
473,67,1,1,3,2,2,2,30
474,64,1,3,25,3,3,3,30
475,17,1,4,2,3,1,1,30
476,17,2,1,9,3,2,3,30
477,136,1,1,2,3,2,1,30
478,77,1,1,2,2,2,1,30
479,84,2,1,3,3,1,1,30
480,97,1,1,9,3,2,1,30
481,42,1,1,9,3,1,1,30
482,123,1,1,2,3,1,1,30
483,117,1,1,13,3,3,1,30
484,117,2,1,2,3,1,1,50
485,19,1,1,18,3,2,4,30
486,80,1,1,11,3,5,1,40
487,116,2,5,16,3,2,2,30
488,79,1,8,9,3,1,1,50
489,122,2,1,2,3,2,4,30
490,94,1,3,6,3,3,3,30
491,141,1,1,32,3,1,1,30
492,60,2,4,9,3,1,1,70
493,137,2,6,9,3,3,3,30
494,87,1,1,2,3,2,1,60
495,33,1,2,2,1,2,1,60
496,140,2,2,2,3,2,1,30
497,8,2,4,7,3,2,1,50
498,60,1,1,9,3,1,1,60
499,4,1,2,9,3,2,1,30
500,68,1,1,2,3,3,1,30
501,85,1,1,9,3,2,1,40
502,52,2,1,2,3,1,2,30
503,26,1,1,2,3,2,2,30
504,30,1,7,2,3,2,1,60
505,77,1,1,7,3,1,1,30
506,45,1,5,16,3,4,1,50
507,50,1,1,13,3,3,1,30
508,6,1,3,2,3,2,1,60
509,44,1,2,16,3,2,1,30
510,140,2,2,3,3,1,3,50
511,30,1,2,14,3,3,1,30
512,28,2,6,3,3,5,1,20
513,143,2,1,9,3,4,2,50
514,101,1,1,2,3,2,1,30
515,17,1,2,16,3,1,3,30
516,90,2,5,2,3,2,1,40
517,35,2,1,9,3,1,1,30
518,104,1,2,13,2,2,1,60
519,11,2,4,3,3,2,1,60
520,67,2,1,2,2,2,3,30
521,34,2,1,2,3,3,3,30
522,66,2,1,3,3,2,1,70
523,123,2,1,2,3,5,1,60
524,19,2,8,7,3,1,2,50
525,31,1,2,13,2,2,1,40
526,28,1,1,30,3,2,3,20
527,83,1,1,2,3,2,3,30
528,63,1,1,7,3,3,1,30
529,140,1,5,14,3,2,4,20
530,61,1,1,2,3,2,1,30
531,31,2,1,26,3,2,1,30
532,79,1,2,18,3,1,1,70
533,25,1,1,3,3,1,2,30
534,138,2,2,3,3,2,1,30
535,24,2,1,2,3,1,4,60
536,140,1,1,25,2,2,3,30
537,136,2,1,2,2,2,2,60
538,84,1,1,3,3,1,1,30
539,13,2,1,2,3,1,1,30
540,61,2,2,3,3,2,2,60
541,127,2,1,7,3,1,3,30
542,93,1,1,7,3,1,1,30
543,105,2,1,2,3,1,3,30
544,24,1,1,2,3,2,1,30
545,101,2,1,2,3,2,2,30
546,28,1,2,17,3,1,1,60
547,130,1,1,2,3,5,3,30
548,122,1,1,2,3,2,3,40
549,53,2,6,16,3,2,2,40
550,93,1,2,2,3,3,1,60
551,63,1,1,13,3,1,2,30
552,65,1,1,7,3,1,4,30
553,112,1,6,11,2,2,2,30
554,128,2,1,9,3,3,3,30
555,127,1,1,2,3,2,1,30
556,97,2,1,23,3,2,3,60
557,115,1,1,9,3,2,1,40
558,68,2,1,2,3,3,1,30
559,122,2,1,3,3,2,2,50
560,144,1,1,9,3,1,1,60
561,145,2,1,9,3,1,1,60
562,125,1,3,2,3,1,2,40
563,2,2,2,6,2,2,1,30
564,22,1,1,2,3,2,1,30
565,29,2,2,2,2,3,1,30
566,39,2,1,13,3,2,4,30
567,5,1,3,16,3,2,3,40
568,18,1,5,3,3,2,2,60
569,104,1,1,7,3,2,1,30
570,129,2,1,7,2,3,1,30
571,95,1,5,2,3,1,1,30
572,118,1,1,9,3,2,1,30
573,29,1,1,2,2,3,1,50
574,45,2,1,2,3,3,2,30
575,95,2,1,12,2,1,3,50
576,84,1,1,32,2,2,3,60
577,69,2,8,6,2,1,1,30
578,53,1,1,9,3,2,1,50
579,89,2,6,3,3,2,1,60
580,10,2,1,2,3,2,1,60
581,81,1,1,9,2,1,2,30
582,29,1,1,7,3,2,2,30
583,103,1,1,9,3,1,1,40
584,121,1,1,2,3,2,1,60
585,15,2,1,2,3,2,1,30
586,106,1,2,10,3,2,1,40
587,93,1,5,2,2,3,1,60
588,37,1,1,2,2,2,2,30
589,69,1,1,2,3,2,1,30
590,49,2,1,6,3,2,3,40
591,88,1,1,2,3,2,4,50
592,94,1,1,2,2,1,1,30
593,47,2,6,9,1,1,1,60
594,115,1,2,3,3,3,1,50
595,122,1,2,2,3,1,1,70
596,17,2,1,9,2,1,1,60
597,144,1,1,2,3,1,1,40
598,61,2,1,2,3,3,2,30
599,18,2,7,9,3,2,2,40
600,94,2,6,17,1,4,5,70
601,69,1,1,7,3,2,1,50
602,50,2,8,2,3,3,2,30
603,139,1,1,2,3,1,2,30
604,4,1,1,9,3,2,1,40
605,18,2,1,14,3,2,2,70
606,90,2,1,2,3,1,1,30
607,146,1,1,9,2,2,1,30
608,20,1,1,2,3,2,1,30
609,1,1,3,9,3,2,3,30
610,116,1,2,3,3,2,2,60
611,89,2,1,2,3,2,1,60
612,2,1,5,2,3,2,1,60
613,29,2,5,18,3,1,1,30
614,97,2,2,2,2,4,2,30
615,3,1,2,9,3,2,4,30
616,77,1,2,2,3,2,1,30
617,136,1,2,22,3,2,2,30
618,55,2,3,2,3,2,1,30
619,60,1,3,9,3,1,4,30
620,140,2,2,2,3,4,2,30
621,56,2,5,2,3,1,4,30
622,36,1,1,9,3,2,1,40
623,69,1,2,2,3,1,1,30
624,139,2,1,2,3,2,1,40
625,47,1,1,14,3,1,1,30
626,101,1,5,7,3,1,1,30
627,147,1,4,2,3,1,1,30
628,148,1,1,10,3,2,1,50
629,76,1,3,2,3,1,1,40
630,56,1,1,2,3,2,1,30
631,17,1,1,16,2,1,1,60
632,30,1,5,7,3,2,2,60
633,28,2,6,2,3,1,1,30
634,39,1,1,4,3,2,1,30
635,23,1,4,2,3,1,1,60
636,4,1,3,9,3,2,1,30
637,90,2,1,9,3,3,2,30
638,13,1,1,8,3,2,1,30
639,134,1,6,4,3,1,1,60
640,12,2,1,2,3,2,1,30
641,25,1,5,2,2,2,2,30
642,91,2,2,7,3,2,1,30
643,128,1,1,5,3,3,1,30
644,55,1,1,9,2,2,1,30
645,115,2,5,9,3,2,1,60
646,127,2,2,2,3,2,2,50
647,82,1,5,13,2,1,2,30
648,60,2,2,9,1,2,1,60
649,4,1,1,2,3,3,3,50
650,33,2,1,9,3,2,3,30
651,5,1,1,7,3,1,1,50
652,134,1,7,25,3,1,1,30
653,69,2,8,3,3,4,1,30
654,88,1,1,11,3,3,3,30
655,149,1,1,26,3,1,2,70
656,25,1,5,20,3,2,1,30
657,25,1,1,9,2,3,1,40
658,50,1,6,3,3,1,1,20
659,44,1,1,17,3,1,1,50
660,68,2,1,22,3,1,1,70
661,6,1,2,3,3,1,3,60
662,139,2,2,9,3,1,1,60
663,33,2,1,9,3,1,1,70
664,80,1,7,3,3,2,3,30
665,10,1,1,2,3,3,1,30
666,103,1,1,2,3,4,1,30
667,9,2,1,2,3,1,4,30
668,128,1,1,5,3,2,2,50
669,110,1,1,9,3,5,2,40
670,118,1,3,13,3,2,1,50
671,127,2,1,3,3,1,4,30
672,88,1,1,7,2,2,1,30
673,121,1,2,7,3,2,1,30
674,43,2,1,13,2,3,2,40
675,105,2,1,17,2,2,3,30
676,52,1,1,3,3,1,4,30
677,14,1,1,9,3,4,3,30
678,65,1,1,9,2,2,1,40
679,79,1,1,17,3,1,2,50
680,23,2,1,2,3,3,1,60
681,13,1,1,32,3,2,1,30
682,141,1,1,9,3,2,1,30
683,150,2,1,9,3,3,1,30
684,147,2,5,9,3,1,1,40
685,43,1,1,25,3,2,4,70
686,123,2,1,2,3,1,3,30
687,40,2,1,7,2,3,1,50
688,91,2,1,9,3,2,1,30
689,89,1,1,2,3,1,1,40
690,3,1,1,17,3,2,4,60
691,4,1,1,2,3,1,1,30
692,129,1,1,17,3,1,1,30
693,121,2,2,3,3,2,1,30
694,55,2,1,2,3,2,1,30
695,35,2,2,7,3,3,1,30
696,115,1,1,25,3,5,1,30
697,120,1,3,2,3,2,1,40
698,112,2,2,9,3,2,1,60
699,103,1,1,9,2,2,2,30
700,151,2,1,2,3,4,3,60
701,29,2,2,9,3,2,2,30
702,112,1,3,7,2,1,2,30
703,131,1,1,2,2,2,1,60
704,13,1,1,2,3,2,2,30
705,125,2,2,2,3,2,2,30
706,62,2,1,9,3,2,3,50
707,152,1,1,2,3,2,3,30
708,103,1,1,2,3,1,1,30
709,46,2,7,9,3,2,1,70
710,38,2,5,7,3,3,2,30
711,23,1,1,2,3,2,1,40
712,128,2,1,9,3,1,3,30
713,19,1,1,7,3,2,1,30
714,139,1,7,17,3,1,2,30
715,61,1,2,18,3,2,1,30
716,56,1,1,16,3,3,3,30
717,76,1,6,7,2,4,1,40
718,9,1,1,9,3,1,4,40
719,143,1,1,9,3,2,1,40
720,44,1,1,6,3,2,1,30
721,78,1,1,5,1,2,2,30
722,41,1,5,9,3,1,2,30
723,40,1,1,9,3,2,1,70
724,113,1,1,9,3,1,3,30
725,111,1,1,3,3,2,1,30
726,18,1,1,9,3,1,1,30
727,153,1,1,25,3,3,1,30
728,109,1,8,2,3,2,1,30
729,122,1,2,2,3,2,1,30
730,133,1,1,2,3,3,2,50
731,72,2,1,2,3,2,2,50
732,80,2,1,6,3,1,2,30
733,64,2,1,9,3,2,1,40
734,94,1,1,2,3,2,1,50
735,96,2,2,2,3,3,2,30
736,116,1,1,9,3,1,4,30
737,139,1,2,2,3,2,2,50
738,37,1,1,7,3,2,1,30
739,113,2,1,7,3,1,2,30
740,53,2,1,7,3,1,1,30
741,64,2,2,2,2,2,3,50
742,94,1,2,7,1,2,3,60
743,67,1,1,14,3,2,2,30
744,109,1,1,7,3,2,2,30
745,76,2,2,10,3,3,1,40
746,88,1,1,9,3,4,2,30
747,49,1,7,2,3,2,1,40
748,94,1,1,9,2,2,1,30
749,117,1,1,11,2,1,1,30
750,70,1,1,33,3,3,1,50
751,124,1,1,34,3,2,1,30
752,89,1,1,2,3,1,1,40
753,70,2,1,35,3,3,1,50
754,154,2,1,7,3,1,2,30
755,90,2,1,13,3,4,1,30
756,8,1,8,7,3,2,3,70
757,3,1,1,5,3,1,1,30
758,122,1,2,2,2,2,1,40
759,24,1,2,7,3,1,3,60
760,155,2,1,17,3,3,1,70
761,21,1,6,3,3,2,1,60
762,87,1,8,16,2,2,1,30
763,129,2,2,9,3,1,1,30
764,64,1,2,9,3,1,1,60
765,19,1,1,6,3,2,2,30
766,81,2,2,11,3,2,1,30
767,64,1,1,3,3,1,1,20
768,89,2,6,9,3,4,1,40
769,77,1,1,3,3,4,1,30
770,125,1,1,2,3,1,2,30
771,116,2,8,2,3,3,1,70
772,22,1,1,13,3,2,1,30
